Nom de l'offre touristique;Type de l'offre;Type habitation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Nom de la commune;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'acces/Nom/distance;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;Code Embed pour intégrer une video;Widget tripadvisor;Animal accepté: oui / non;Complément information animal accepté;Label tourisme handicap;SPaccessibilite;Présence l'offre sur les grands itinéraires vélo;Equipements;Confort immobillier;Confort mobillier;Labels;Classement dans un label;Catégorie de la fête ou manifestation;Nombre chambres;Nombre chambres pour accès à mobilité réduite;Nombre total d'hébergements / logements;Nombre personnes;Surface en M2;Services proposés sur place;Langues parlées à l'accueil;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Coordonnées centrale de réservation;Nom agence/nom contact/Téléphone/E-mail/URL resa/URL dispo/;Tarif(s);Modes de paiement acceptés;localisation;departement
LE HAUT VILLAGE ROULOTTES;Hébergement insolite;Roulotte;;;4 ROUTE DE L'ETANG;;44730;SAINT-MICHEL-CHEF-CHEF;;44182;47.1711065;-2.1365875;;;02 40 39 93 45;;;http://www.camping-hautvillage.fr;;;;;oui;Vaccinés et tenus en laisse. Chiens de 1ère et 2ème catégorie interdits;;;;Parc/jardin,Piscine,Plan d'eau,WiFi;"Plain Pied;Sanitaires privés";Micro ondes;;;3 étoiles;;;;4;;;"Anglais;Espagnol;Français";non;;STAUB||02 40 39 93 45||contact@camping-hautvillage.fr;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Tickets Restaurant";47.1711065,-2.1365875;Loire-Atlantique
GÎTE LE NID DE L'ERDRE;Meublés;Maison;;;457 Rue de Saint-Mars;;44240;SUCE-SUR-ERDRE;;44201;47.338041;-1.519462;;;02 28 30 81 48;;;https://www.leniddelerdre.fr;;Instagram||https://www.instagram.com/le_nid_de_lerdre/;;;oui;;;non;;Climatisation,Espace bien-être,Parc/jardin,Plan d'eau,WiFi;"Entrée indépendante;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";Equipement bébé,Micro ondes;;;2 étoiles;1;;1;3;35;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location/prêt de vélo,Option nettoyage,Nettoyage (gratuit);"Anglais;Français";oui;;;oui;||https://www.leniddelerdre.fr/reservation/||||02 28 30 81 48||contact@leniddelerdre.fr;;Nuitée (meublé)||115,00||135,00||;"Cartes bancaires;Chèques Vacances;Chèques Vacances Connect";47.338041,-1.519462;Loire-Atlantique
APPARTEMENT 6 PERSONNES - MME NIEL;Meublés;Appartement;;;5 bis Avenue de la République;Le Grand Large;44420;LA TURBALLE;;44211;47.35014;-2.51526;;06 72 72 58 19;;;;;;;;;non;;;;;;"Local vélo;Parking;Terrasse / Balcon;Toilettes séparées";Lave linge,Lave vaisselle,Micro ondes;;;;3;;;6;72;Location de linge;;;01/01/2020||31/12/2020||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;"Chèques bancaires et postaux;Espèces";47.35014,-2.51526;Loire-Atlantique
CHEZ MME BRIN;Chambres d'hôtes;Maison;;;5 route du Seigneur de Tournemine;;44420;PIRIAC-SUR-MER;;44125;47.37407;-2.53895;;06 65 50 45 48;02 40 23 53 44;;;;;;;;non;;;;;WiFi;Parking;;;;;1;;;2;;;;;30/04/2022||30/09/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||55,00||55,00||,1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||50,00||50,00||;"Chèques bancaires et postaux;Espèces";47.37407,-2.53895;Loire-Atlantique
GÎTE LA QUINCAILLERIE;Meublés;Maison;;;5, La Rambellerie;;44290;GUEMENE-PENFAO;;44067;47.6379512;-1.8075819;;06 26 55 57 44;;;;https://www.larbreemaille.com;;Facebook||https://www.facebook.com/larbreemaille;;;;;;non;;;"Entrée indépendante;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées";Micro ondes;;;En cours de classement;1;0;1;4;19;Fourniture de draps (gratuit),Location de linge,Option nettoyage;;non;01/03/2022||01/11/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Karine||06 26 55 57 44||larbreemaille@gmail.com;;;;Nuitée (meublé)||100,00||140,00||,Week-end (meublé)||200,00||280,00||,Semaine (meublé)||400,00||560,00||,Taxe de séjour / nuit / pers||0,90||||;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.6379512,-1.8075819;Loire-Atlantique
MAISON 8 - 10 PERSONNES - M. LEGRAND;Meublés;Maison;;;50 allée du chasse marée;Quimiac;44420;MESQUER;;44097;47.39983;-2.48954;;;;;;;;;;;non;;;;;;"Jardin indépendant;Parking;Terrain clos;Terrasse / Balcon;Toilettes séparées";Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle;;;;4;;;8;100;Location de draps;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||700,00||1200,00||,Week-end (meublé)||300,00||420,00||;"Chèques bancaires et postaux;Espèces;Virement";47.39983,-2.48954;Loire-Atlantique
STUDIO CABINE 4 PERSONNES ** - BRODU YANNICK;Meublés;;;;50 boulevard des Océanides;"Immeuble ""Les Pétrels""";44380;PORNICHET;;44132;47.26391;-2.3441;;06 99 05 25 58;;;;;;;;;non;;;;;;;Lave linge,Lave vaisselle,Micro ondes;;;2 étoiles;;;;3;27;;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||300,00||525,00||;"Chèques bancaires et postaux;Espèces;Virement";47.26391,-2.3441;Loire-Atlantique
APPARTEMENT 5 PERSONNES***  - M. ET MME COÏC;Meublés;Appartement;;;52 boulevard  de la République;Résidence Haliotis;44380;PORNICHET;;44132;47.26002;-2.33637;;06 74 29 24 19;01 39 56 64 10;;;;;;;;non;;;;;WiFi;;Equipement bébé,Lave vaisselle,Micro ondes;;;3 étoiles;2;;;7;;Fourniture de draps (gratuit);"Allemand;Anglais";;09/04/2022||31/08/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,22/10/2022||06/11/2022||Vacances de la Toussaint||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||1100,00||1300,00||;"Chèques bancaires et postaux;Virement";47.26002,-2.33637;Loire-Atlantique
APPARTEMENT 5 PERSONNES - MME MABO;Meublés;Appartement;;;537 route de Mesquer;;44420;PIRIAC-SUR-MER;;44125;47.37736;-2.53349;;06 13 43 10 98;;;;;;;;;oui;;;;;;"Parking;Plain Pied;Terrain clos;Terrasse / Balcon";Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;2 étoiles;2;;;5;;Location de draps;;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||315,00||355,00||;"Chèques bancaires et postaux;Chèques Vacances;Espèces";47.37736,-2.53349;Loire-Atlantique
MAISON 4 PERSONNES - LA MARRONELLE;Meublés;Maison;;;6 avenue Louis Gervot;;44500;LA BAULE-ESCOUBLAC;;44055;47.29077;-2.37037;;;06 09 32 42 33;;;;;;;;non;;;;;;"Plain Pied;Terrain clos;Terrasse / Balcon";Equipement bébé,Lave linge,Lave vaisselle,Micro ondes;;;En cours de classement;2;;;4;;Fourniture de draps (gratuit);Anglais;;01/03/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.29077,-2.37037;Loire-Atlantique
STUDIO INDÉPENDANT;Meublés;Appartement;;;6 Le Fozo;;44410;HERBIGNAC;;44072;47.48663;-2.29003;;06 50 47 73 88;02 40 88 86 23;;;https://gite.fozo.fr/;;;;;;;;;;;"Jardin indépendant;Plain Pied;Terrasse / Balcon";Lave linge,Micro ondes;;;;1;;;2;20;Fourniture de draps (gratuit),Fourniture de linge (gratuit);;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.48663,-2.29003;Loire-Atlantique
B & B CHEZ L'HABITANT;Chambres d'hôtes;;;;60 Rue Aristide Briand;;44550;SAINT-MALO-DE-GUERSAC;;44176;47.353246;-2.174457;;;07 83 39 48 40;;;;;;;;;;;non;;;;;;;;;;;;;;;oui;01/01/2022||31/12/2022||Location toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||60,00||||petit déjeuner inclus;Chèques bancaires et postaux;47.353246,-2.174457;Loire-Atlantique
GÎTE LOGIS DES GABELOUS;Meublés;Maison;;;640 Lasseron;Belligné;44370;LOIREAUXENCE;;44213;47.4734392;-0.9676792;;06 59 21 44 98;02 40 98 43 76;;;https://www.logisdesgabelous.fr/;;Facebook||https://www.facebook.com/logisdesgabelous/,Instagram||https://www.instagram.com/logisdesgabelous/;;;oui;;;non;;Piscine,WiFi;"Jardin indépendant;Parking;Terrain clos";Cheminée,Lave linge,Sèche linge,Lave vaisselle;;;2 étoiles;5;;1;15;;Fourniture de draps (gratuit);"Anglais;Français";oui;;;;;;Mid-week (meublés)||||||du lundi  soir au vendredi matin;;47.4734392,-0.9676792;Loire-Atlantique
MAISON 4 PERSONNES - MME LEFEUVRE;Meublés;Maison;;;65 rue de Kervenel;;44490;LE CROISIC;;44049;47.28907;-2.51384;;06 21 03 30 07;;;;;;;;;non;;;;;;"Jardin indépendant;Parking;Terrain clos";Lave linge,Lave vaisselle,Micro ondes;;;Non classé;3;;;5;90;;;;;;;;;Semaine (meublé)||450,00||850,00||;;47.28907,-2.51384;Loire-Atlantique
GÎTE LE CARPEDIEM;Meublés;;;;7 Rue Saint-jean;;44170;NOZAY;;44113;47.566251;-1.626214;;06 63 13 88 86;;;;https://www.gite-le-carpediem.com/;;;;;;;;non;;Espace bien-être;"Entrée indépendante;Parking;Sanitaires privés;Terrasse / Balcon";;;;;6;;1;20;360;;;;;;;;;Nuitée (meublé)||25,00||35,00||,Week-end (meublé)||690,00||810,00||;;47.566251,-1.626214;Loire-Atlantique
MANOIR DES 4 SAISONS;Chambres d'hôtes;;;;744 boulevard de Lauvergnac;;44420;LA TURBALLE;;44211;47.35764;-2.4969;;;06 87 33 43 86;;;http://www.le-manoir-des-quatre-saisons.com;;;;;oui;;;;;WiFi;"Entrée indépendante;Parking;Plain Pied;Sanitaires privés;Terrasse / Balcon";Equipement bébé;;;;5;;;12;;;"Allemand;Anglais";oui;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||80,00||130,00||;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.35764,-2.4969;Loire-Atlantique
LE NID DU PATIS;Meublés;Appartement;;;8 le patis;;44530;GUENROUET;;44068;47.4751;-1.90476;;06 24 27 47 48;;;;;;;;;oui;;;non;;;"Jardin indépendant;Parking;Terrasse / Balcon";Equipement bébé;;;;1;;;3;;Fourniture de draps (gratuit),Fourniture de linge (gratuit);;;01/01/2021||31/12/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.4751,-1.90476;Loire-Atlantique
MAISON 3 CHAMBRES;Meublés;Maison;;;80 avenue Guy de la Morandais;;44500;LA BAULE-ESCOUBLAC;;44055;47.28954;-2.36534;;06 52 70 10 07;;;;;;;;;;;;;;;;;;;;3;;;8;;;;;;;;;;;;47.28954,-2.36534;Loire-Atlantique
LE GAGE;Chambres d'hôtes;;;;85 Boulevard de l'Océan;;44250;SAINT-BREVIN-LES-PINS;;44154;47.22681;-2.17277;;06 03 31 03 00;;;;https://legagebandbstb.jimdo.com/;;;;;;;;;;WiFi;Parking;Equipement bébé;;;;3;;;9;;Tables d'hôtes;;;19/02/2021||07/03/2021||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||90,00||120,00||,1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||85,00||115,00||;"Chèques Vacances;Espèces";47.22681,-2.17277;Loire-Atlantique
MAISON 5 PERSONNES - MME CAILLAT;Meublés;Maison;;;9 rue de l'Echappée;;44420;PIRIAC-SUR-MER;;44125;47.37981;-2.54838;;;06 88 79 21 35;;;;;;;;non;;;;;;"Plain Pied;Terrain clos";Lave linge,Lave vaisselle,Micro ondes;;;3 étoiles;2;;;5;;;Anglais;;01/01/2022||31/12/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||380,00||560,00||;"Chèques bancaires et postaux;Virement";47.37981,-2.54838;Loire-Atlantique
MAISON 8 PERSONNES -MME DE LAVENNE-MESQUER;Meublés;Maison;;;90 rue de l'étang;Quimiac;44420;MESQUER;;44097;47.40618;-2.48017;;;;;;;;;;;non;;;;;;"Terrain clos;Terrasse / Balcon;Toilettes séparées";Lave linge,Lave vaisselle;;;Non classé;5;;;8;145;;;;30/07/2022||27/08/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.40618,-2.48017;Loire-Atlantique
CHAMBRE D'HÔTES LA CABANE D'ANNA;Hébergement insolite;Cabane;;;Brin de Chevrette;1 La Haute Chapelette;44540;VALLONS-DE-L'ERDRE;;44180;47.51657;-1.239239;;06 31 42 84 56;06 81 10 01 54;;;http://www.brindechevrette.com;;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g2308616-d5600777-Reviews-Cabanes_Dans_les_Arbres_Brin_de_Chevrette-Bonnoeuvre_Loire_Atlantique_Pays_de_la_Loir.html;;"<div id=""TA_selfserveprop963"" class=""TA_selfserveprop"">;<ul id=""da0bQQq"" class=""TA_links 3sJUyhqc"">;<li id=""oTXzNi"" class=""n3yJ8Ab"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=963&amp;locationId=5600777&amp;lang=fr&amp;rating=true&amp;nreviews=3&amp;writereviewlink=false&amp;popIdx=false&amp;iswide=false&amp;border=true&amp;display_version=2""></script>;";non;;;non;;Parc/jardin;"Jardin indépendant;Sanitaires privés;Terrasse / Balcon";;;;Non classé;1;;;5;;Fourniture de draps (gratuit);"Anglais;Français";oui;;;;;;;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.51657,-1.239239;Loire-Atlantique
CHAMBRE D'HÔTES LA CABANE DE MARIE;Hébergement insolite;Cabane;;;Brin de Chevrette;1 La Haute Chapelette;44540;VALLONS-DE-L'ERDRE;;44180;47.51657;-1.239239;;06 31 42 84 56;06 81 10 01 54;;;http://www.brindechevrette.com;;Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g2308616-d5600777-Reviews-Cabanes_Dans_les_Arbres_Brin_de_Chevrette-Bonnoeuvre_Loire_Atlantique_Pays_de_la_Loir.html;;"<div id=""TA_selfserveprop963"" class=""TA_selfserveprop"">;<ul id=""da0bQQq"" class=""TA_links 3sJUyhqc"">;<li id=""oTXzNi"" class=""n3yJ8Ab"">;<a target=""_blank"" href=""https://www.tripadvisor.fr/""><img src=""https://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""https://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=963&amp;locationId=5600777&amp;lang=fr&amp;rating=true&amp;nreviews=3&amp;writereviewlink=false&amp;popIdx=false&amp;iswide=false&amp;border=true&amp;display_version=2""></script>;";non;;;non;;Parc/jardin;"Jardin indépendant;Sanitaires privés;Terrasse / Balcon";;;;Non classé;1;;;2;;Fourniture de draps (gratuit);"Anglais;Français";oui;;;;;;||115,00||230,00||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances";47.51657,-1.239239;Loire-Atlantique
STUDIO 3 PERSONNES - MME SIROP;Meublés;Appartement;;;Isson;Route de Pen-Bé;44410;ASSERAC;;44006;47.42684;-2.41824;;;02 40 01 74 63;;;https://www.camping-lafermedisson.com/;;;;;;;;;;;"Garage;Local vélo;Parking;Terrain clos";Lave linge;;;;1;;;3;28;;;;01/04/2022||31/10/2022||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||340,00||400,00||;;47.42684,-2.41824;Loire-Atlantique
LES CHAMBRES CAMPAGNARDES;Chambres d'hôtes;Maison;;;Kerdanaître;;44410;SAINT-LYPHARD;;44175;47.36905;-2.33971;;06 79 43 49 34;02 40 91 35 03;;;http://chambrescampagnardebaholet.over-blog.com;;;;;;;;;;WiFi;"Entrée indépendante;Parking";Equipement bébé;;;;2;;;4;;;;;;;;;;;"Chèques bancaires et postaux;Espèces";47.36905,-2.33971;Loire-Atlantique
CHAMBRES D'HÔTES LA LONGÈRE DE LA CHEVALLERAIS;Chambres d'hôtes;Maison;;;La Baluère;;44810;LA CHEVALLERAIS;;44221;47.4674585;-1.6923627;;06 71 26 13 16;;;;https://www.la-longere-de-la-chevallerais.com/;;Facebook||https://www.facebook.com/lalongeredelachevallerais/;;;non;;;non;;Espace bien-être,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés";;;;Non classé;3;;1;8;;;"Anglais;Espagnol";;;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||115,00||195,00||séjour bien-être ,Table d'hôtes||20,00||||,1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||||125,00||étape business ,1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||||161,00||halte cavalier;"Cartes bancaires;Chèques bancaires et postaux;Espèces";47.4674585,-1.6923627;Loire-Atlantique
MAISON 6 PERSONNES - DOMAINE DE LA BRETESCHE;Meublés;Maison;;;La Valléjade;16 hameau du potager;44780;MISSILLAC;;44098;47.48277;-2.17629;;06 79 13 27 27;;;;;;;;;;;;;;;"Terrasse / Balcon;Toilettes séparées";Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;;2;;;6;;;;;;;;;;;;47.48277,-2.17629;Loire-Atlantique
CHAMBRES D'HOTES LES BASSINS DE LAUNAY;Chambres d'hôtes;Maison;;;Launay Prieur;;44110;CHATEAUBRIANT;;44036;47.7071294;-1.3640757;;06 80 96 44 38;02 40 28 32 57;;;;;;;;;;;non;;WiFi;;;Accueil Paysan;;;2;;2;4;;;Anglais;oui;;;;;;1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||60,00||70,00||;;47.7071294,-1.3640757;Loire-Atlantique
CHÂTEAU L'ESCALE - CHAMBRES D'HÔTES;Chambres d'hôtes;Châteaux et demeures de prestige;;;Le Fort;Saint-Herblon;44150;VAIR-SUR-LOIRE;;44163;47.4163674;-1.0961983;;06 07 02 66 49;;;;https://www.chateaulescale.fr/;https://fb.watch/3rLCNsZ-op/;Facebook||https://www.facebook.com/chateaulescale/?ref=page_internal,Instagram||https://www.instagram.com/chateaulescale/;;;non;;;non;;Parc/jardin,Piscine,Piscine couverte,Plan d'eau,WiFi;"Local vélo;Parking;Sanitaires privés;Terrasse / Balcon";Cheminée,Equipement bébé,Micro ondes;;;Non classé;5;;1;13;;Fourniture de draps (gratuit),Location/prêt de vélo,Nettoyage (gratuit);"Anglais;Français";oui;;;oui;||https://via.eviivo.com/LEscale441501||||||;;;"Cartes bancaires;Espèces";47.4163674,-1.0961983;Loire-Atlantique
HÉBERGEMENTS LÉGERS AU CAMPING L'ESTUAIRE;Locatif sur camping;Hébergement léger pour l'itinérance;;;Quai Eole;;44560;PAIMBOEUF;;44116;47.28936;-2.0400915;;;02 40 27 84 53;;;https://www.campinglestuaire.fr;;;;;;;;non;EV1-La Vélodyssée,EV6-La Loire à Vélo;Parc/jardin,Piscine couverte,WiFi;;;Accueil Vélo,La Loire à vélo,La Vélodyssée;;3 étoiles;;;6;21;;;"Anglais;Espagnol";non;;;oui;||https://www.campinglestuaire.fr/reservation.html||||02 40 27 84 53||contact@campinglestuaire.fr;;;;47.28936,-2.0400915;Loire-Atlantique
GÎTE LILOIRE;Meublés;Maison;;;Rue de la Basse Meilleraie;Varades;44370;LOIREAUXENCE;;44213;47.3717798;-1.018978;;06 85 05 30 16;;;;https://liloirevarades.business.site/;;;;;;;;non;;WiFi;;;;;;3;;1;6;;Location de draps,Option nettoyage;Français;oui;;;;;;||65,00||120,00||;"Chèques bancaires et postaux;Chèques Vacances";47.3717798,-1.018978;Loire-Atlantique
M. MME DEFAUT;Meublés;Appartement;;;Résidence Pen Castel;2 rue Verdi;44490;LE CROISIC;;44049;47.28136;-2.50543;;;;;;;;;;;non;;;;;;"Parking;Plain Pied";Lave linge,Micro ondes;;;Non classé;;;;4;24;;;;;;;;;;;47.28136,-2.50543;Loire-Atlantique
APPARTEMENT 2 PERSONNES * - FENÊTRE SUR MER;Meublés;Appartement;;104 boulevard des Océanides;Fenêtre sur Mer;Appartement 7;44380;PORNICHET;;44132;47.26759;-2.34746;;06 72 42 08 19;02 40 15 34 47;;;http://fenetre-sur-mer.fr;;;;;non;;;;;WiFi;;Equipement bébé,Micro ondes;;;;1;;;2;35;Fourniture de draps (gratuit),Fourniture de linge (gratuit);Anglais;;01/01/2022||31/12/2022||Toute l'année et week-ends||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||400,00||725,00||,Week-end (meublé)||220,00||250,00||;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";47.26759,-2.34746;Loire-Atlantique
MAISON 4 PERSONNES - MME COLANDINI;Meublés;Maison;;4 route de la Fontaine Maria;Ker Maria;Pen-Bé;44410;ASSERAC;;44006;47.42619;-2.44828;;06 89 79 88 58;02 51 74 01 74;;;http://www.clevacances.com;;;;;non;;;;;;"Terrain clos;Terrasse / Balcon";Cheminée,Equipement bébé,Lave linge,Sèche linge,Lave vaisselle,Micro ondes;;;;2;;;4;;;Anglais;;;;;;;;"Chèques bancaires et postaux;Chèques Vacances";47.42619,-2.44828;Loire-Atlantique
APPARTEMENT 6 PERSONNES * - THOBY DENIS;Meublés;Appartement;;Bâtiment A - Appt 27;2 avenue des Bleuets;Résidence Ker Juliette;44380;PORNICHET;;44132;47.24477;-2.31497;;07 85 79 13 90;02 40 56 92 04;;;;;;;;non;;;;;;;Lave vaisselle,Micro ondes;;;;2;;;6;44;;;;01/01/2022||31/12/2022||Toute l'année||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Semaine (meublé)||150,00||1500,00||;"Chèques bancaires et postaux;Espèces;Virement";47.24477,-2.31497;Loire-Atlantique
GITE ROYAL MANOIR DU PERRAY;Meublés;Châteaux et demeures de prestige;;Manoir du Perray;Le Perray;;44850;SAINT-MARS-DU-DESERT;;44179;47.3352471;-1.4608681;;;06 75 91 00 32;;;http://www.chambres-hotes-locations-nantes.com;;Facebook||https://www.facebook.com/manoir.du.perray/photos_stream?ref=page_internal,Tripadvisor||http://www.tripadvisor.fr/Hotel_Review-g4053095-d4048577-Reviews-Manoir_Du_Perray-Saint_Mars_du_Desert_Loire_Atlantique_Pays_de_la_Loire.html;;http://www.tripadvisor.fr/Hotel_Review-g4053095-d4048577-Reviews-Manoir_Du_Perray-Saint_Mars_du_Desert_Loire_Atlantique_Pays_de_la_Loire.html;;;;non;;Parc/jardin,Piscine,WiFi;"Entrée indépendante;Parking;Sanitaires privés;Terrain clos";Lave vaisselle;;;Non classé;;;;8;;Fourniture de draps (gratuit);Français;oui;;||06 75 91 00 32||contact@manoirduperray.com;;;;Mid-week (meublés)||1140,00||||4 jours,Semaine (meublé)||1925,00||||;Chèques bancaires et postaux;47.3352471,-1.4608681;Loire-Atlantique
CHATEAU DE SAINT-THOMAS;Chambres d'hôtes;;Château Saint Thomas;;;;44360;SAINT-ETIENNE-DE-MONTLUC;;44158;47.2781044;-1.7778888;;;02.40.85.90.60;;;;;;;;;;;non;;;;;;;;;;;;;;"Anglais;Italien";;;||02 40 85 90 60||chateaudesaintthomas@hotmail.com;;;;;;47.2781044,-1.7778888;Loire-Atlantique
LE DOMAINE DES VIEILLES RUES;Hébergement insolite;Kota finlandais;Les Vieilles Rues;;;;44650;CORCOUE-SUR-LOGNE;;44156;46.9710103;-1.5517246;;06 31 54 79 95;;;;;;;;;;;;non;;;;;;;Non classé;;;;;;;;oui;;;oui;||https://www.domainedesvieillesrues.fr/reservation/||||06 31 54 79 95||contact@domainedesvieillesrues.fr;;;"Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement";46.9710103,-1.5517246;Loire-Atlantique
CHAMBRE D'HOTES L'ATELIER;Chambres d'hôtes;Maison;;;6 bis rue des Sorinières;L'Atelier;44140;LE BIGNON;;44014;47.10031;-1.49189;Autoroute||A 83||5,Route (nationale/départ.)||D 137||3,Aéroport/aérodrome||Nantes Atlantique||15,Gare SNCF|| Gare Nantes Sud||14;;02 51 11 87 39;;;;;;;;non;;;non;;Parc/jardin,WiFi;Terrain clos;;;;;2;0;1;7;;;Anglais;oui;;Sabine  BOUDY||06 65 08 88 59||sabine.boudy@laposte.net;;;;;;47.10031,-1.49189;Loire-Atlantique
GITES  DU CHATEAU CASSEMICHERE;Meublés;Appartement,Châteaux et demeures de prestige,Maison;;;La Cassemichère;;44330;LA CHAPELLE-HEULIN;;44032;47.1603332;-1.3696743;Aéroport/aérodrome||Nantes Atlantique||15,Route (nationale/départ.)||RN249||2,Gare SNCF||Le Pallet - La Haye Fouassière||2;06 61 14 98 49;02 40 06 74 07;02 28 01 14 43;;https://www.chateaucassemichere.com/;;Facebook||https://www.facebook.com/Chateau.Cassemichere/;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Parking;Sanitaires privés;Toilettes séparées";Equipement bébé,Micro ondes;;;Non classé;17;;8;50;;Fourniture de draps (gratuit),Location de linge;"Anglais;Espagnol;Français";oui;;;oui;||https://du-vignoble-a-latlantique.amenitiz.io/fr/booking/room||||02 40 06 74 07||contact@chateaucassemichere.fr;;;"Cartes bancaires;Chèques bancaires et postaux;Espèces;Virement";47.1603332,-1.3696743;Loire-Atlantique
